objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237665565531308239,209.68352,22.532438,0.204934,1.273745E-5,19.543255,18.970045,0.021058,0.017991
1237667911140049125,209.67946,22.62574,0.081696,1.247731E-5,20.140924,19.292374,0.021581,0.017924
1237665565531308254,209.7095,22.525841,0.057655,1.061273E-5,20.027884,19.468452,0.023445,0.01996
1237667910603178105,209.60273,22.20786,0.110442,2.016767E-5,20.421497,19.549938,0.023663,0.021655
1237667910603309138,209.9315,22.149898,0.110413,1.565711E-5,20.523466,19.950274,0.031783,0.024566
1237667910603309208,209.89434,22.15651,0.19532,2.777176E-5,20.816608,19.862797,0.0349,0.024077
1237667910603309171,209.959,22.140056,0.104209,1.348681E-5,18.817463,17.998865,0.025589,0.018893
1237665565531242654,209.4255,22.515594,0.062058,1.02786E-5,18.506319,17.786549,0.015723,0.014483
1237667910603112506,209.39908,22.253864,0.19578,1.534389E-5,20.120188,19.126902,0.024481,0.017966
1237667910603112580,209.53546,22.30698,0.036061,6.570156E-6,20.044981,19.350615,0.023987,0.018807
1237667910603047129,209.38031,22.260766,0.114659,1.252869E-5,19.620552,18.620884,0.016928,0.013203
1237665565531177054,209.25587,22.510168,0.063263,8.763279E-6,19.736832,19.061073,0.020222,0.015506
1237665565531242679,209.4613,22.516899,0.06205,1.390136E-5,19.598999,18.868544,0.018436,0.016119
1237667910603112579,209.50815,22.208761,0.128021,8.14077E-6,19.363623,18.771673,0.021439,0.016834
1237667910603047473,209.28679,22.369043,0.322484,1.265317E-4,22.216709,20.349266,0.072047,0.025948
1237665565531242543,209.4397,22.482451,0.129881,1.82298E-5,19.181606,18.381889,0.090021,0.116985
1237667911139917849,209.37494,22.780155,0.120696,1.294212E-5,20.281765,19.493528,0.0198,0.022662
1237667911140966575,211.94632,22.177317,0.138147,2.777201E-5,19.397299,18.551659,0.021544,0.015068
1237667911141097560,212.1812,22.206738,0.065994,1.937734E-5,18.868216,18.263012,0.017308,0.01282
1237665565532291209,212.08893,22.113347,0.139816,3.970954E-5,19.755138,18.768978,0.017304,0.082194
1237665565532291122,211.99854,22.082713,0.140185,2.672416E-5,19.613989,18.632862,0.01673,0.014172
1237665565532291336,211.97453,22.074126,0.13955,4.424882E-5,20.336834,19.484341,0.020943,0.017316
